"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
R0010002,"14.973",R11,"149529.1363","211418.2943",H292L20,"51.21272072","4.362018776","495.0",3687,"Halve snede kmpt. 14.9"
R0010002,"14.973",R12,"149529.1363","211418.2943",H292L30,"51.21272072","4.362018776","495.0",3688,"Halve snede kmpt. 14.9"
R0011261,"0.744",R10,"149511.3675","211464.9863",S206L10,"51.21314039","4.361764434","495.0",3689,"Halve snede kmpt. 14.9"
A0122611,"0.126",R11,"148760.9815","223812.4217",S108L20,"51.32412075","4.350985046","128.0",1044,"complex Stabroek (13) (deel 1)"
A0130001,"4.937",R10,"160076.7315","211326.0363",H192L10,"51.21180284","4.512960263","373.0",2375,"E313 Spitsstrook kmpt. 4.495"
A0122611,"0.126",R10,"148760.9815","223812.4217",S108L10,"51.32412075","4.350985046","128.0",1043,"complex Stabroek (13) (deel 1)"
A0130001,"4.937",R09,"160076.7315","211326.0363",H192L00,"51.21180284","4.512960263","373.0",2374,"E313 Spitsstrook kmpt. 4.495"
A0122651,"0.062",R10,"148726.0205","224051.4755",S106L10,"51.32626929","4.350482716","128.0",1042,"complex Stabroek (13) (deel 1)"
A0130001,"4.203",R12,"159343.8743","211294.0129",H192L30,"51.21152739","4.502471903","372.0",2373,"E313 Spitsstrook kmpt. 4.288"
A0120001,"47.186",R11,"148703.2631","224047.3931",S192L20,"51.32623255","4.35015626","128.0",1041,"complex Stabroek (13) (deel 1)"
A0130001,"4.203",R11,"159343.8743","211294.0129",H192L20,"51.21152739","4.502471903","372.0",2372,"E313 Spitsstrook kmpt. 4.288"
A0120001,"47.186",R10,"148703.2631","224047.3931",S192L10,"51.32623255","4.35015626","128.0",1040,"complex Stabroek (13) (deel 1)"
A0130001,"4.203",R10,"159343.8743","211294.0129",H192L10,"51.21152739","4.502471903","372.0",2371,"E313 Spitsstrook kmpt. 4.288"
A0130001,"4.203",R09,"159343.8743","211294.0129",H192L00,"51.21152739","4.502471903","372.0",2370,"E313 Spitsstrook kmpt. 4.288"
A0122621,"0.122",R10,"148638.0439","224175.3477",H207L10,"51.32738246","4.349220179","128.0",1039,"complex Stabroek (13) (deel 1)"
A0120002,"47.203",R11,"148669.1947","224060.6655",H291L20,"51.32635176","4.349667478","128.0",1038,"complex Stabroek (13) (deel 1)"
A0130001,"3.427",R12,"158565.6447","211242.5489",H192L30,"51.21107695","4.491333914","371.0",2369,"E313 Spitsstrook kmpt. 3.390"
A0120002,"47.203",R10,"148669.1947","224060.6655",H291L10,"51.32635176","4.349667478","128.0",1037,"complex Stabroek (13) (deel 1)"
A0130001,"3.427",R11,"158565.6447","211242.5489",H192L20,"51.21107695","4.491333914","371.0",2368,"E313 Spitsstrook kmpt. 3.390"
A0141081,"0.275",R10,"93295.7169","183050.1907",S105L10,"50.95495914","3.561715694","126.0",1036,"complex Deinze (7)"
A0130001,"3.427",R10,"158565.6447","211242.5489",H192L10,"51.21107695","4.491333914","371.0",2367,"E313 Spitsstrook kmpt. 3.390"
A0141051,"0.514",R10,"93343.6795","182996.6083",S106L10,"50.95448219","3.562406538","126.0",1035,"complex Deinze (7)"
A0130001,"3.427",S09,"158565.6447","211242.5489",H192L00,"51.21107695","4.491333914","371.0",2366,"E313 Spitsstrook kmpt. 3.390"
A0141011,"0.026",R10,"93179.4077","182858.7989",S108L10,"50.95322741","3.560090107","126.0",1034,"complex Deinze (7)"
A0130001,"2.687",R12,"157831.5465","211192.9097",H192L30,"51.21064126","4.480827705","370.0",2365,"E313 Spitsstrook kmpt. 2.730"
A0020002,"82.422",R09,"171843.5351","175634.3453",H121L00,"50.89064908","4.679207503","226.0",3696,"Snede Herent  Winksele"
A0020002,"82.422",R10,"171843.5351","175634.3453",H121L10,"50.89064908","4.679207503","226.0",3697,"Snede Herent  Winksele"
A0020002,"82.422",R11,"171843.5351","175634.3453",H121L20,"50.89064908","4.679207503","226.0",3698,"Snede Herent  Winksele"
A0020001,"83.861",R09,"171064.4449","174445.2115",H122L00,"50.87998837","4.668066396","227.0",3699,"Snede Winksele  Leuven 1"
A0122661,"0.493",R10,"148727.1143","223422.7827",S202L10,"51.32061859","4.350500544","129.0",1055,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"7.304",S09,"162388.7839","211070.6609",H192L00,"51.20946225","4.546038017","376.0",2386,"E313 Spitsstrook kmpt. 7.410"
A0120002,"46.564",R11,"148758.5243","223428.8015",S292L20,"51.32067276","4.350951068","129.0",1054,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"6.486",R12,"161610.0505","211317.2349",H192L30,"51.21169481","4.534902474","375.0",2385,"E313 Spitsstrook kmpt. 6.500"
A0120002,"46.564",R10,"148758.5243","223428.8015",S292L10,"51.32067276","4.350951068","129.0",1053,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"6.486",R11,"161610.0505","211317.2349",H192L20,"51.21169481","4.534902474","375.0",2384,"E313 Spitsstrook kmpt. 6.500"
R0022261,"0.015",R10,"148754.5423","223430.3557",S207L20,"51.32068671","4.350893945","129.0",1052,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"6.486",R10,"161610.0505","211317.2349",H192L10,"51.21169481","4.534902474","375.0",2383,"E313 Spitsstrook kmpt. 6.500"
R0024761,"0.056",R10,"148745.1061","223429.1365",S207L10,"51.32067574","4.350758596","129.0",1051,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"6.486",S09,"161610.0505","211317.2349",H192L00,"51.21169481","4.534902474","375.0",2382,"E313 Spitsstrook kmpt. 6.500"
R0020002,"89.554",R11,"148547.6233","223052.3457",H208L20,"51.31728868","4.347927374","129.0",1050,"knooppunt Antwerpen-Haven + complex Stab"
A0130001,"5.726",R12,"160857.7909","211360.7649",H192L30,"51.21210077","4.524138627","374.0",2381,"E313 Spitsstrook kmpt. 5.750"
A0130001,"5.726",R11,"160857.7909","211360.7649",H192L20,"51.21210077","4.524138627","374.0",2380,"E313 Spitsstrook kmpt. 5.750"
